"Story","Title","Result","Date","Stability","Duration (s)"
"Cari Pekerjaan","Success Enter to Menu","SUCCESS","2022-12-05T02:09:08.1330192+07:00[Asia/Jakarta]","0.0","0.26"
"Login","Login with null email and null password","SUCCESS","2022-12-05T02:09:08.4240537+07:00[Asia/Jakarta]","0.0","0.1"
"Login","Login with invalid email and valid password","SUCCESS","2022-12-05T02:09:08.7140253+07:00[Asia/Jakarta]","0.0","0.09"
"Login","Login with valid email and invalid password","SUCCESS","2022-12-05T02:09:08.8170252+07:00[Asia/Jakarta]","0.0","0.07"
"Login","Login with valid email and valid password","SUCCESS","2022-12-05T02:09:08.9050331+07:00[Asia/Jakarta]","0.0","0.07"
"Login","Login with null email and invalid password","SUCCESS","2022-12-05T02:09:08.9860382+07:00[Asia/Jakarta]","0.0","0.06"
"Login","Login with valid email and null password","SUCCESS","2022-12-05T02:09:09.056032+07:00[Asia/Jakarta]","0.0","0.11"
"Logout","Success logout","SUCCESS","2022-12-05T02:09:09.1820286+07:00[Asia/Jakarta]","0.0","0.05"
"Pelajari Keahlian Baru","Success Enter to Menu","SUCCESS","2022-12-05T02:09:09.248029+07:00[Asia/Jakarta]","0.0","0.04"
"Temukan Orang Yang Anda Kenal","Success Enter to Menu","SUCCESS","2022-12-05T02:09:09.3230314+07:00[Asia/Jakarta]","0.0","0.08"
